category	word	link on verb	link on VP
vb	embody	0	1
vbg	opening	0	1
vbd	lowballed	0	1
vbd	hacked	0	1
vb	introduce	0	1
vbn	robbed	0	1
vbn	finished	0	1
vbn	suck	0	1
vbg	punching	0	1
vbd	created	0	1
vb	decode	0	1
vb	retrofit	0	1
vbz	buries	0	1
vb	blackface	0	1
vbg	navigating	0	1
vbz	goes	0	1
vb	wrangle	0	1
vb	stoke	0	1
vbg	serving	0	1
vbg	discontinuing	0	1
vb	navigate	0	1
vb	invite	0	1
vbd	slapped	0	1
vb	forecast	0	1
vb	youtube	0	1
vbp	dispute	0	1
vbg	producing	0	1
vbn	appealed	0	1
vb	threaten	0	1
vbn	reconsidered	0	1
vb	demand	0	1
vb	prolong	0	1
vbz	finds	0	1
vbd	prompted	0	1
vbz	destroys	0	1
vb	example	0	1
vbp	libertarian	0	1
vbn	revoked	0	1
vb	triple	0	1
vbg	hijacking	0	1
vbz	features	0	1
vbg	repelling	0	1
vb	schedule	0	1
vbn	captured	0	1
vbz	suggests	0	1
vb	nin	0	1
vbd	transcribed	0	1
