sentence_length	link_length	actual	expected
1	1	7	7.01
2	1	3.005	3.0000000000000000000000000000000000000000
2	2	8	8.0033333333333
3	1	6.0025	6.0000000000000000000000000000000000000000
3	2	5	2.5000000000000000000000000000000000000000
3	3	3	3.002
4	1	9.0016666666667	9.0000000000000000000000000000000000000000
4	2	1	0.4000000000000000000000000000000000000000
4	3	3	1.2000000000000000000000000000000000000000
4	4	7	7.0014285714286
5	1	8.00125	8.0000000000000000000000000000000000000000
5	2	4	1.4285714285714285714285714285714285714284
5	3	2	0.5714285714285714285714285714285714285714
5	5	3	3.0011111111111
6	1	9.001	9.0000000000000000000000000000000000000000
6	2	2	0.6666666666666666666666666666666666666666
6	3	6	1.4285714285714285714285714285714285714280
6	5	4	1.3333333333333333333333333333333333333332
6	6	4	4.0009090909091
7	1	12.000833333333	12.0000000000000000000000000000000000000000
7	2	2	0.6363636363636363636363636363636363636362
7	4	1	0.1893939393939393939393939393939393939393
7	6	1	0.3181818181818181818181818181818181818181
7	7	4	4.0007692307692
8	1	9.0007142857143	9.0000000000000000000000000000000000000000
8	2	4	1.2307692307692307692307692307692307692304
8	3	2	0.3916083916083916083916083916083916083916
8	4	3	0.4895104895104895104895104895104895104893
8	5	1	0.1631701631701631701631701631701631701631
8	7	1	0.3076923076923076923076923076923076923076
8	8	2	2.0006666666667
9	1	9.000625	9.0000000000000000000000000000000000000000
9	2	5	1.5000000000000000000000000000000000000000
9	3	2	0.5538461538461538461538461538461538461538
9	4	4	0.5874125874125874125874125874125874125872
9	5	2	0.2741258741258741258741258741258741258740
9	7	1	0.1846153846153846153846153846153846153846
9	8	1	0.3000000000000000000000000000000000000000
9	9	2	2.0005882352941
10	1	6.0005555555556	6.0000000000000000000000000000000000000000
10	2	4	1.1764705882352941176470588235294117647056
10	4	7	0.9502262443438914027149321266968325791854
10	5	1	0.1209378856437679967091731797614150555327
10	6	2	0.2418757712875359934183463595228301110654
10	7	1	0.1357466063348416289592760180995475113122
10	8	1	0.1764705882352941176470588235294117647058
10	10	1	1.0005263157895
11	1	7.0005	7.0000000000000000000000000000000000000000
11	2	7	2.0263157894736842105263157894736842105258
