1	140537
2	102661
3	59243
4	38167
5	27522
6	19325
7	14013
8	10169
9	7329
10	5286
11	3805
12	2812
13	2086
14	1588
15	1239
16	878
17	794
18	678
19	526
20	458
21	381
22	319
23	262
24	236
25	211
26	176
27	146
28	147
29	139
30	119
31	95
32	82
33	78
34	67
35	63
36	67
37	47
38	32
39	32
40	22
41	19
42	22
43	29
44	19
45	22
46	22
47	22
48	14
49	5
50	12
51	13
52	17
53	11
54	13
55	7
56	5
57	8
58	7
59	7
60	9
61	6
62	2
63	8
64	3
65	2
66	6
67	3
68	5
69	7
70	6
71	5
72	4
73	1
74	2
75	3
76	1
77	1
78	2
79	7
80	1
81	2
82	3
83	2
84	1
86	2
88	3
90	3
91	1
92	1
95	2
98	2
99	2
100	1
102	1
103	4
104	1
105	1
106	2
107	2
109	1
110	3
112	1
113	1
115	2
120	2
122	1
128	1
130	1
147	1
180	1
355	1
382	1
